fdc_id,description,calories,carbs_g,fat_g,fiber_g,protein_g,sodium_mg,cat_Baked Products,cat_Beef Products,cat_Cereal Grains and Pasta,cat_Dairy and Egg Products,cat_Fats and Oils,cat_Finfish and Shellfish Products,cat_Fruits and Fruit Juices,"cat_Lamb, Veal, and Game Products",cat_Legumes and Legume Products,cat_Nut and Seed Products,cat_Pork Products,cat_Poultry Products,cat_Restaurant Foods,cat_Sausages and Luncheon Meats,"cat_Soups, Sauces, and Gravies",cat_Spices and Herbs,cat_Sweets,cat_Vegetables and Vegetable Products
2263892,"Applesauce, unsweetened, with added vitamin C",49.0115,12.2615625,0.1625,0.0,0.2734375,0.5038,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2346384,"Cottage cheese, full fat, large or small curd",103.74768700000001,4.59964,4.225,0.0,11.62436,349.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2346385,"Cream cheese, full fat, block",339.76302999999996,4.55615,33.49,0.0,5.78985,367.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2346386,"Cream, heavy",339.6016613,3.799506,35.56,0.0,2.017994,20.61,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2346387,"Cream, sour, full fat",194.5792858,5.555506,17.99,0.0,3.070694,50.04,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2346388,"Lettuce, iceberg, raw",15.7820875,3.36875,0.07375,0.0,0.7425,16.11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2346389,"Lettuce, romaine, green, raw",19.114695124999997,4.055575,0.07125,0.0,0.976875,23.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2346390,"Lettuce, leaf, red, raw",16.108154375,3.260575,0.1063,0.0,0.883125,24.89,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2346391,"Lettuce, leaf, green, raw",20.269718249999997,4.06615,0.1563,0.0,1.09375,28.88,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2346392,"Nuts, pine nuts, raw",665.80314,18.5921,61.27,3.941,15.7039,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2346393,"Nuts, almonds, whole, raw",604.673511,20.03462,51.09,10.78,21.45038,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2346394,"Nuts, walnuts, English, halves, raw",704.11017,10.9096,69.74,5.21,14.5644,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2346395,"Nuts, pecans, halves, raw",724.87422,12.6993,73.28,5.793,9.9587,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2346396,"Oats, whole grain, rolled, old fashioned",380.2460615,68.65755,5.89,0.0,13.49645,0.6675,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2346397,"Oats, whole grain, steel cut",380.2280306,69.75082,5.8,0.0,12.51118,0.3113,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2346398,"Pineapple, raw",57.078948,14.0914625,0.2113,0.9346,0.4609375,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2346399,"Cherries, sweet, dark red, raw",66.91663750000001,16.163125,0.1925,0.0,1.039375,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2346400,"Beans, snap, green, raw",36.78387325,7.41245,0.275,3.011,1.96875,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2346401,"Potatoes, russet, without skin, raw",82.18618125,17.77125,0.36,0.0,2.27375,2.743,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2346402,"Potatoes, red, without skin, raw",74.4654625,16.27,0.2475,0.0,2.0625,2.856,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2346403,"Potatoes, gold, without skin, raw",72.524514,15.9624,0.2638,0.0,1.8125,2.238,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2346404,"Sweet potatoes, orange flesh, without skin, raw",78.178136875,17.327875,0.375,0.0,1.578125,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2346405,"Celery, raw",15.764729374999998,3.3165125,0.1625,0.0,0.4921875,97.21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2346406,"Cucumber, with peel, raw",14.9212125,2.9525,0.1775,0.0,0.625,1.515,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2346407,"Cabbage, green, raw",29.6485,6.38375,0.2275,0.0,0.96125,16.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2346408,"Cabbage, red, raw",31.998818,6.7899,0.2138,0.0,1.2425,11.72,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2346409,"Strawberries, raw",34.532825,7.964375,0.22,0.0,0.640625,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2346410,"Raspberries, raw",54.374962499999995,12.904375,0.1875,0.0,1.008125,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2346411,"Blueberries, raw",60.6204605,14.571775,0.3063,0.0,0.703125,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2346412,"Grapes, red, seedless, raw",81.535438,20.196825,0.1638,0.0,0.914375,6.999,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2346413,"Grapes, green, seedless, raw",76.02091250000001,18.60375,0.2325,0.0,0.89875,3.171,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2346414,"Applesauce, unsweetened, with added vitamin C",49.0115,12.2615625,0.1625,0.0,0.2734375,0.5038,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2512371,"Flour, amaranth",381.01845000000003,68.7787,6.236,7.209,13.2093,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2512372,"Flour, quinoa",381.7955075,69.52465,6.601,6.295,11.92235,6.321,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2512373,"Flour, sorghum",369.39452085,77.39123,3.586,6.019,8.27277,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2512374,"Flour, buckwheat",346.1348014,75.01808,2.484,10.35,8.88492,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2512375,"Flour, rye",355.181019,77.1618,1.908,13.68,8.3952,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2512376,"Flour, barley",361.860914,77.39832,2.45,12.79,8.72168,20.33,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2512377,"Flour, cassava",357.963030375,87.312975,0.4938,4.834,0.918225,13.08,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2512378,"Buckwheat, whole grain",343.8677603,71.13066,3.039,4.046,11.06534,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2512379,"Millet, whole grain",378.11224875,74.44623,4.194,2.619,10.02177,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2512380,"Rice, brown, long grain, unenriched, raw",366.93823725,76.68795,3.306,3.021,7.25305,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2512381,"Rice, white, long grain, unenriched, raw",364.1711605,80.31315,1.033,0.1488,7.03885,0.4625,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2514743,"Beef, ground, 90% lean meat / 10% fat, raw",187.4998095,0.0,12.85,0.0,18.15625,61.64,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2514744,"Beef, ground, 80% lean meat / 20% fat, raw",245.2113375,0.0,19.44,0.0,17.53125,54.94,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2514745,"Pork, ground, raw",230.8574295,0.0,17.49,0.0,17.80625,53.63,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2514746,"Chicken, ground, with additives, raw",135.589147,0.0,7.161,0.0,17.9125,62.95,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2514747,"Turkey, ground, 93% lean/ 7% fat, raw",155.10235,0.0,9.591,0.0,17.34375,80.18,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2515373,"Nuts, brazilnuts, raw",642.2682629999999,21.64216,57.43,5.984,15.03684,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
